race_id,horse_no,horse_name,origin,sex,age,weight,jockey,trainer,owner
20260103_01,1,컴퍼스포스,한,암,3,54.5,정우주,임채덕,이상진
20260103_01,2,로드투퍼펙트,한,암,3,54.5,임다빈,정호익,최종복
20260103_01,3,선라이즈킹,한,거,3,56.5,송재철,홍윤화,김은미
20260103_01,8,라비타,한,암,3,54.5,최범현,박지헌,죽마조합
20260103_01,9,글로벌카드,한,수,3,56.5,장추열,이준철,장재형
20260103_02,1,비케이데블,한,암,3,54.5,조한별,조현수,함승원
20260103_02,2,플레이스테이,한,수,4,57.0,송재철,이동국,김창만
20260103_02,3,우마루,한,암,3,54.5,오수철,김윤섭,임흥호
20260103_02,4,용비교,한,암,3,54.5,임기원,구자흥,정성진
20260103_02,5,엘피다,한,암,3,54.5,해리카심,이관호,양은석
20260103_02,8,캡마왕,한,수,3,56.5,유승완,배휴준,하늬바람
20260103_02,9,그레이스데이,한,수,3,56.5,정정희,안병기,정현주
20260103_02,10,학산태풍,한,암,4,55.0,이동하,박병일,황봉기
20260103_02,11,파라이바,한,암,3,54.5,임다빈,정호익,배은정
20260103_03,1,스마트해성,한,암,3,54.5,최범현,조현수,김조은
20260103_03,2,비카드래곤,한,암,4,55.0,조한별,임채덕,김형란
20260103_03,3,라온사파이어,한,암,3,54.5,조상범,박종곤,라온랜드
20260103_03,4,위드도르티,한,암,4,55.0,조재로,김동철,최상일
20260103_03,5,대한시대,한,수,3,56.5,김용근,강성오,이종수
20260103_03,9,눈꽃,한,암,3,54.5,유승완,심승태,김선식
20260103_04,1,검은숲,한,수,3,56.5,김용근,강성오,박치문
20260103_04,2,은하칼라스,한,암,4,55.0,빅투아르,박윤규,오종환
20260103_04,3,엠제이베트,한,암,4,55.0,김옥성,김동균,박정재
20260103_04,4,청룡기운,한,거,4,57.0,푸르칸,최용건,박재범
20260103_04,5,신천하트,한,암,4,55.0,문정균,홍대유,문종원
20260103_04,7,더블블레이드,한,암,4,55.0,조한별,박천서,유성훈
20260103_04,10,트리플팔메토,한,암,4,55.0,장추열,김동균,박성구
20260103_04,11,발키리,한,암,4,55.0,김태희,박재우,김세권
20260103_05,1,라온파이널,한,암,3,52.5,조재로,박종곤,손천수
20260103_05,3,블랙스펙터,한,수,5,55.5,오수철,배휴준,허영희
