race_id	race_date	track	race_no	distance	grade	start_time
20260103_01	2026-01-03	서울	1	1200	국6	10:35
20260103_02	2026-01-03	서울	2	1200	국6	11:00
20260103_03	2026-01-03	서울	3	1300	국6	11:25
20260103_04	2026-01-03	서울	4	1400	국6	12:45
20260103_05	2026-01-03	서울	5	1200	국5	13:35
20260103_06	2026-01-03	서울	6	1700	국5	14:25
20260103_07	2026-01-03	서울	7			
20260103_08	2026-01-03	서울	8			
20260103_09	2026-01-03	서울	9	1400	국4	16:55
20260103_10	2026-01-03	서울	10			
20260103_11	2026-01-03	서울	11			
20260104_01	2026-01-04	서울	1	1200	국6	10:35
20260104_02	2026-01-04	서울	2	1400	국6	11:00
20260104_03	2026-01-04	서울	3	1400	국5	12:05
20260104_04	2026-01-04	서울	4	1300	국5	13:10
20260104_05	2026-01-04	서울	5	1200	국5	14:00
20260104_06	2026-01-04	서울	6	1700	국4	14:50
20260104_07	2026-01-04	서울	7	1800	국3	15:40
20260104_08	2026-01-04	서울	8			
20260104_09	2026-01-04	서울	9			
20260104_10	2026-01-04	서울	10			
